phase,writer,component,value
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxy,-0.00132150592988821
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxy,-0.00132150592988821
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gxz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gxz,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gyy,1.0475917247166937
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gyy,1.0475917247166937
t3_00_RESTRICT,RESTRICT,z4c_gyy,1.0475917247166937
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyy,1.0475917247166937
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyy,1.0475917247166937
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyy,1.0475917247166937
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyy,1.0475917247166937
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyy,1.0475917247166937
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyy,1.0475917247166937
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyy,1.0475944445424858
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyy,1.0475944445424858
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gyz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gyz,0.0
t3_00_RESTRICT,RESTRICT,z4c_gyz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gzz,0.8728723841586574
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gzz,0.8728723841586575
t3_00_RESTRICT,RESTRICT,z4c_gzz,0.8728723841586575
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gzz,0.8728723841586575
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gzz,0.8728723841586575
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gzz,0.8728723841586575
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gzz,0.8728723841586575
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gzz,0.8728723841586575
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gzz,0.8728723841586575
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gzz,0.8728746503667304
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gzz,0.8728746503667304
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Khat,6.2682190586273805
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Khat,6.268219058627381
t3_00_RESTRICT,RESTRICT,z4c_Khat,6.268219058627381
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Khat,6.268219058627381
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Khat,6.268219058627381
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Khat,6.268219058627381
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Khat,6.268219058627381
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Khat,6.268219058627381
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Khat,6.268219058627381
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Khat,6.268219058627381
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Khat,6.268219058627381
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axx,0.2782885797786808
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axx,0.2782885797786809
t3_00_RESTRICT,RESTRICT,z4c_Axx,0.2782885797786809
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axx,0.2782885797786809
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axx,0.2782885797786809
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axx,0.2782885797786809
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axx,0.2782885797786809
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axx,0.2782885797786809
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axx,0.2782885797786809
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axx,0.2776224123002273
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axx,0.2776224123002273
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axy,0.3156454319136168
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axy,0.3156454319136168
t3_00_RESTRICT,RESTRICT,z4c_Axy,0.3156454319136168
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axy,0.3156454319136168
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axy,0.3156454319136168
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axy,0.3156454319136168
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axy,0.3156454319136168
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axy,0.3156454319136168
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axy,0.3156454319136168
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axy,0.3156462369155978
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axy,0.3156462369155978
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axz,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Ayy,1.6710239047904372
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Ayy,1.6710239047904372
t3_00_RESTRICT,RESTRICT,z4c_Ayy,1.6710239047904372
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayy,1.6710239047904372
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayy,1.6710239047904372
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayy,1.6710239047904372
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Ayy,1.6710239047904372
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Ayy,1.6710239047904372
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Ayy,1.6710239047904372
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Ayy,1.6703857573678438
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Ayy,1.6703857573678438
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Ayz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Ayz,0.0
t3_00_RESTRICT,RESTRICT,z4c_Ayz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Ayz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Ayz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Ayz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Ayz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Ayz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Azz,-1.6134923486002413
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Azz,-1.6134923486002413
t3_00_RESTRICT,RESTRICT,z4c_Azz,-1.6134923486002413
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Azz,-1.6134923486002413
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Azz,-1.6134923486002413
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Azz,-1.6134923486002413
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Azz,-1.6134923486002413
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Azz,-1.6134923486002413
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Azz,-1.6134923486002413
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Azz,-1.6140240645818222
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Azz,-1.6140240645818222
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Gamx,0.13843150689232497
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Gamx,0.13843150689232497
t3_00_RESTRICT,RESTRICT,z4c_Gamx,0.13843150689232497
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamx,0.13843150689232497
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamx,0.13843150689232497
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamx,0.13843150689232497
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamx,0.13843150689232497
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamx,0.13843150689232497
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamx,0.13843150689232497
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamx,0.13843150689232497
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Gamx,0.13843150689232497
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Gamy,-0.006421981876435706
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Gamy,-0.006421981876435704
t3_00_RESTRICT,RESTRICT,z4c_Gamy,-0.006421981876435704
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamy,-0.006421981876435704
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamy,-0.006421981876435704
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamy,-0.006421981876435704
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamy,-0.006421981876435704
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamy,-0.006421981876435704
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamy,-0.006421981876435704
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamy,-0.006421981876435704
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Gamy,-0.006421981876435704
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Gamz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Gamz,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Gamz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Theta,-0.3082776435763329
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Theta,-0.3082776435763329
t3_00_RESTRICT,RESTRICT,z4c_Theta,-0.3082776435763329
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Theta,-0.3082776435763329
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Theta,-0.3082776435763329
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Theta,-0.3082776435763329
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Theta,-0.3082776435763329
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Theta,-0.3082776435763329
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Theta,-0.3082776435763329
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Theta,-0.3082776435763329
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Theta,-0.3082776435763329
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_alpha,0.6938670921413358
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_alpha,0.6938670921413358
t3_00_RESTRICT,RESTRICT,z4c_alpha,0.6938670921413358
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_alpha,0.6938670921413358
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_alpha,0.6938670921413358
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_alpha,0.6938670921413358
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_alpha,0.6938670921413358
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_alpha,0.6938670921413358
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_alpha,0.6938670921413358
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_alpha,0.6938670921413358
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_alpha,0.6938670921413358
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_betax,0.07297418057966676
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betax,0.07297418057966674
t3_00_RESTRICT,RESTRICT,z4c_betax,0.07297418057966674
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betax,0.07297418057966674
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betax,0.07297418057966674
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betax,0.07297418057966674
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betax,0.07297418057966674
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betax,0.07297418057966674
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betax,0.07297418057966674
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betax,0.07297418057966674
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_betax,0.07297418057966674
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_betay,-0.02261837512150513
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betay,-0.02261837512150513
t3_00_RESTRICT,RESTRICT,z4c_betay,-0.02261837512150513
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betay,-0.02261837512150513
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betay,-0.02261837512150513
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betay,-0.02261837512150513
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betay,-0.02261837512150513
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betay,-0.02261837512150513
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betay,-0.02261837512150513
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betay,-0.02261837512150513
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_betay,-0.02261837512150513
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_betaz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betaz,0.0
t3_00_RESTRICT,RESTRICT,z4c_betaz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betaz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betaz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betaz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betaz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betaz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betaz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betaz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_betaz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Bx,0.003824824115617057
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Bx,0.0038248241156170577
t3_00_RESTRICT,RESTRICT,z4c_Bx,0.0038248241156170577
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Bx,0.0038248241156170577
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Bx,0.0038248241156170577
