phase,writer,component,delta_l2_unweighted,delta_max_abs
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betax,7.556585030617386e-16,5.551115123125783e-17
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betay,5.068364959638223e-16,3.469446951953614e-17
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betaz,0.0,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Bx,4.1698815855325286e-17,1.734723475976807e-18
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_By,4.887666345146928e-18,3.2526065174565133e-19
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Bz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_chi,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gyy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gyz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gzz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Khat,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Ayy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Ayz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Azz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Theta,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_alpha,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_betax,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_betay,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_betaz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Bx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_By,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Bz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_chi,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gzz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Khat,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Azz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Theta,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_alpha,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betax,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betay,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betaz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Bx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_By,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Bz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_chi,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gzz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Khat,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Azz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Theta,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_alpha,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betax,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betay,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betaz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Bx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_By,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Bz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_chi,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxx,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gzz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Khat,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axx,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Azz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamx,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Theta,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_alpha,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betax,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betay,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betaz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Bx,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_By,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Bz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_chi,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxx,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxy,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyy,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gzz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Khat,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axx,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axy,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Ayy,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Ayz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Azz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamx,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamy,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Theta,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_alpha,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betax,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betay,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betaz,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Bx,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_By,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Bz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_chi,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxx,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxy,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyy,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gzz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Khat,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axx,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axy,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Ayy,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Ayz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Azz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamx,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamy,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Theta,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_alpha,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betax,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betay,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betaz,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Bx,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_By,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Bz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_chi,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxx,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxy,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyy,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gzz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Khat,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axx,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axy,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Ayy,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Ayz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Azz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamx,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamy,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Theta,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_alpha,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betax,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betay,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betaz,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Bx,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_By,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Bz,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_chi,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxx,1.652718726842347e-05,4.0176459907836914e-06
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxy,1.8239710369707925e-08,4.8017531162174165e-09
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxz,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyy,1.5889580508464517e-05,3.8594165054917084e-06
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyz,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gzz,1.3119251195435339e-05,3.2052796089532265e-06
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Khat,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axx,0.005461459517865162,0.0014352839086789748
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axy,5.778296774806369e-06,1.551668848298604e-06
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axz,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Ayy,0.00525282429243392,0.0013781520364981592
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Ayz,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Azz,0.004332469907189755,0.0011455111279459196
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamx,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamy,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamz,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Theta,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_alpha,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betax,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betay,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betaz,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Bx,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_By,0.0,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Bz,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_chi,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxx,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxy,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxz,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyy,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyz,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gzz,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Khat,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axx,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axy,0.0,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axz,0.0,0.0
