resolution,time,axisTau,dt,cycle,C-norm2,H-norm2,M-norm2,Z-norm2,axisKret,axisLapse,max_abs_K,maxAbsKret,maxRefLev,nmb_total,C-Linf,C-rho,C-z,H-Linf,H-rho,H-z,M-Linf,M-rho,M-z,Z-Linf,Z-rho,Z-z
n128,0.6147688040004772,0.3786217902354892,0.010934229874203508,88.0,0.017762930135424296,0.0036324611937889263,0.006292425192369593,0.0016314855186373382,0.0005645556619848079,0.6158772991889826,0.31271831357306906,26.814016085745493,4.0,206.0,0.015050645893625394,5.125,0.0,0.010148980617564196,5.25,0.0,0.011557710310631374,5.125,-0.125,0.002854726246218325,4.75,0.25
n128,0.6589123835185439,0.40580882367069154,0.011099711003934327,92.0,0.01636979503969423,0.0026233133197670444,0.006702820724578564,0.0014122340055149041,0.0005644328501178728,0.6158775286156927,0.30756048553780346,21.085577145927367,4.0,206.0,0.014111491971042686,5.125,0.0,0.007932331897111067,5.125,0.0,0.01161862467078956,5.125,-0.125,0.002521155375441507,4.75,0.375
n128,0.7037583995063811,0.4334284833312084,0.011275063015396844,96.0,0.015341038119305657,0.0021184039912867597,0.006843328950788957,0.0012295050665685583,0.0005642987967115575,0.615877812017752,0.2990445536686766,15.842007613831061,4.0,206.0,0.01301617132904936,5.125,0.0,0.0070027104078843605,5.0,0.0,0.011358249576008459,5.125,-0.125,0.0022319709085884707,4.75,0.375
n128,0.7492769352613167,0.4614623471982893,0.011445122723806768,100.0,0.01460270004431685,0.0020510755066547913,0.006704359167979209,0.001084342482263562,0.0005641530488803,0.6158781583956661,0.2872781114076089,11.21955311155506,4.0,206.0,0.012391302739416235,5.125,-0.125,0.00642574833192433,5.0,0.0,0.01078629585636028,5.125,-0.125,0.0019826110984751725,4.75,0.375
n128,0.7955103057120632,0.48993647969478077,0.01162169593583665,104.0,0.014079362389291025,0.00232222226767597,0.006309226896179581,0.0009771914258687314,0.0005639949497824448,0.6158785784258838,0.27331185180760414,11.090573365595995,4.0,206.0,0.011514406604502456,5.125,-0.125,0.005886496784335837,5.0,0.0,0.009921765573379206,5.125,-0.125,0.001794360574701946,4.625,0.375
n128,0.8424136012146775,0.5188232261852131,0.011791013505693212,108.0,0.013718868364567718,0.0028218212059820703,0.005711128465310083,0.0009094778251066233,0.0005638241494478514,0.6158790832822932,0.2586440481518681,12.80469200820998,4.0,206.0,0.010402911185407746,5.0,0.0,0.005770587685224038,5.0,0.125,0.00879437611017499,5.125,-0.125,0.001671787552610815,4.625,0.375
n128,0.8900127991490543,0.5481385905639435,0.011958540817490896,112.0,0.013504687533054085,0.0034526038861240685,0.004983863726809984,0.0008830428643918036,0.0005636400595609086,0.6158796861210751,0.2415753361707873,14.21169792719038,4.0,206.0,0.010299619324435171,5.0,0.125,0.007793192092528378,5.25,0.0,0.007827865325584814,5.0,0.0,0.00160415833719554,4.625,0.375
n128,0.9382524695341966,0.5778484404369723,0.012123436449860168,116.0,0.013447919983617496,0.004132089848927488,0.004212876643938466,0.0008998264921907985,0.0005634423951548933,0.6158804004896055,0.22815494315271487,15.297536295696052,4.0,206.0,0.011494806731068286,5.25,0.0,0.009491596227219512,5.25,0.0,0.00736272784162297,5.0,0.0,0.0019343106581343166,5.375,0.25
n128,0.987144261384575,0.6079599568819886,0.01227688001072952,120.0,0.013563420011214135,0.004786724156933356,0.0034808177157124006,0.0009609502747876934,0.0005632305832244242,0.6158812421230231,0.2137013226812147,16.056586105614777,4.0,206.0,0.012277485598274334,5.25,0.0,0.010534357361099755,5.25,0.0,0.006699234408293966,5.0,0.0,0.00224010823451354,5.375,0.25
n128,1.036640881695277,0.6384440207170824,0.012435184130075392,124.0,0.013850233307514127,0.0053471310158500285,0.0028578131762521464,0.0010654250891192422,0.0005630042441314789,0.6158822272519916,0.20058682857505497,16.48960540361788,4.0,206.0,0.012473133677299918,5.25,0.0,0.010897819927237151,5.25,0.0,0.005843746859452912,5.0,0.0,0.0025234992069837975,5.375,0.25
n128,1.0867342787670757,0.6692956817849395,0.012573101282868723,128.0,0.014287359865581082,0.005757082944234542,0.002390699348817381,0.0012095860506097442,0.0005627627426973407,0.615883374158615,0.19024117799238147,16.606100828158468,4.0,206.0,0.01207349778302424,5.25,0.0,0.010607649884948667,5.25,0.0,0.0048151664676688265,5.0,-0.125,0.002819917423784869,5.5,0.125
n128,1.137396487662723,0.7004977268813453,0.012723635365197786,132.0,0.014840000879085768,0.005982851879455183,0.002099141861546025,0.001387320247279196,0.0005625054077647068,0.6158847021081391,0.17867654265265256,16.423557032202762,4.0,206.0,0.01113515393837756,5.25,0.0,0.009739286709183892,5.25,0.0,0.0042441439217814365,4.875,0.0,0.003094085366536354,5.5,0.125
n128,1.188594896531981,0.7320300820456046,0.012846392696579478,136.0,0.015469200764981044,0.006019070859631441,0.0019759844590673606,0.00159098801616246,0.0005622314304141999,0.6158862317302267,0.16602335611511382,15.9673817139558,4.0,206.0,0.009769913435033657,5.0,0.25,0.008402729356835836,5.25,0.0,0.004585417031826842,4.875,0.0,0.0033392359412238,5.5,0.125
n128,1.240326851232678,0.7638911251817254,0.012985802795176409,140.0,0.016141367819607882,0.0058889668251831135,0.0019928094088417863,0.0018124379504411564,0.0005619396231556983,0.6158879861538795,0.15838688419409513,15.269346622277101,4.0,206.0,0.009586673835962137,4.875,-0.25,0.007734987151687828,4.625,0.0,0.004695293323810331,4.875,0.0,0.003555043790407376,5.5,0.125
n128,1.2925422271814395,0.7960499992048986,0.013097665849663613,144.0,0.01683073274281651,0.00563785910977846,0.0021085388423781586,0.0020431199612830726,0.000561628796120457,0.6158899882688741,0.14983371436397536,14.366866691623182,4.0,206.0,0.01000152328176849,4.875,-0.25,0.0075925275325841035,4.875,-0.25,0.005002466892166995,5.125,0.0,0.0037422503981135217,5.5,0.25
n128,1.3452538923632986,0.8285146449588058,0.013224217297826867,148.0,0.01752019770012765,0.005322641964221542,0.0022786913895033734,0.002274719357246127,0.0005612970689491524,0.6158922649178619,0.14044682560933744,13.328234674418109,4.0,206.0,0.010112294679725735,4.875,-0.25,0.00743023334842563,4.875,-0.25,0.00557967819365471,5.125,0.0,0.003910256795743961,5.5,0.25
n128,1.398404325106053,0.861249652624656,0.013328531744566456,152.0,0.018197517306786978,0.005001706286269361,0.0024630872035238957,0.0024987809417745606,0.0005609426246679308,0.6158948418119115,0.13032621602376931,12.234576048819092,4.0,206.0,0.009918562886070263,4.875,-0.25,0.007465066141878474,4.5,0.0,0.005883204376851617,5.125,0.0,0.004040006129848046,5.5,0.25
n128,1.452015656880131,0.8942686719373062,0.013443704425774524,156.0,0.018854384083378885,0.004724339149701605,0.0026315356441104333,0.002707806353107097,0.0005605627166293102,0.6158977501422053,0.12375869897256635,11.442124407430384,4.0,206.0,0.009887014976592912,5.125,-0.125,0.007376146071272793,4.5,0.0,0.0061139947262513995,5.125,-0.125,0.004129006291972963,5.5,-0.25
n128,1.5060263472769393,0.9275338214073202,0.013540811673330051,160.0,0.019481710543461195,0.0045249471310538445,0.0027655957890914385,0.0028950388899836275,0.000560154750487344,0.615901018211102,0.1168412108058577,10.718283718357531,4.0,206.0,0.009812420067025474,5.125,-0.125,0.007024522859193319,4.5,0.0,0.006105535998635455,5.125,-0.125,0.004175716256330172,5.5,-0.25
n128,1.5604645858861168,0.9610624860523095,0.01364597002399639,164.0,0.020070035677284267,0.004419548609161329,0.0028587070551110865,0.0030554729928074387,0.0005597150668322709,0.6159046801006701,0.1455460976305544,9.91942004333734,4.0,206.0,0.010242761098893303,5.0,0.0,0.006396029492942365,4.5,0.0,0.005868744419135218,5.125,-0.125,0.004179650021385581,5.5,-0.25
n128,1.6152676633890974,0.9948160680458364,0.013736258298259441,168.0,0.020606556426323044,0.004407580755818856,0.002913551360927057,0.003185269076060483,0.0005592403938787239,0.6159087605371867,0.17390432337751052,10.438866633829397,4.0,206.0,0.010744195345391738,5.0,0.0,0.006376812406844304,4.375,0.0,0.006028451338568963,5.0,0.0,0.004140698313373196,5.5,-0.25
n128,1.6704657879633886,1.0288131996840129,0.01383264594211908,172.0,0.021077980381748927,0.004475381941881687,0.0029392640608105905,0.003282310002130166,0.0005587265164084612,0.6159132898920601,0.20119088400432295,10.847411840389876,4.0,206.0,0.011008269405669307,5.0,-0.125,0.006674471737848284,4.375,0.0,0.006325132506884916,5.0,0.0,0.00405906527740784,5.5,-0.25
n128,1.7259999348371886,1.0630175556917913,0.013916517590371488,176.0,0.02147324597955648,0.004601605022083863,0.0029481333779429464,0.003346298947886349,0.0005581701235897678,0.6159182916517796,0.2272901448123097,11.09224184647786,4.0,206.0,0.011202595862578765,5.0,0.125,0.007165345628735498,5.25,0.0,0.006409840225093637,5.0,0.0,0.0039356557772685504,5.5,-0.25
n128,1.7818995218887383,1.0974472856176856,0.014005230132141935,180.0,0.021795675287494994,0.004763510650425535,0.002953239256152991,0.003380774488096009,0.0005575675505137651,0.615923796878163,0.2521510817132613,11.189623926461744,4.0,206.0,0.011140327600383934,5.0,-0.125,0.007606881201171145,5.25,0.0,0.006293408518262726,5.0,0.0,0.0037841812064565413,5.125,0.25
n128,1.8381093820304908,1.1320684433903045,0.014083079081080741,184.0,0.022073914428253162,0.004942315473768036,0.0029666233803844837,0.0033949085100524823,0.0005569170604180266,0.6159298285076182,0.275704224160527,11.157788761914562,4.0,206.0,0.010841198983009417,5.0,-0.125,0.007815167134735068,5.25,0.0,0.0060601244065965065,5.0,-0.125,0.0037154137213131363,5.125,0.25
n128,1.8946576720815833,1.166898405936169,0.014165056642137946,188.0,0.022357080537896867,0.005126674959786143,0.002997438142639582,0.0034018464592974846,0.0005562177426053291,0.6159364177270208,0.29793463930633135,11.015821120141368,4.0,206.0,0.010803496113681074,5.0,0.25,0.00781911383457129,5.25,0.0,0.005704568113710564,5.0,0.125,0.0036103724308312753,5.0,0.25
n128,1.9514894046200695,1.2019033409070308,0.014233484371540896,192.0,0.02266588008530684,0.005309247589891584,0.0030490852322571744,0.003408179242433565,0.000555472290783318,0.6159435858772876,0.3188104434962198,10.782648486559511,4.0,206.0,0.010579023062485008,5.0,-0.25,0.007651195805810196,5.25,0.0,0.00593741447788899,4.875,0.0,0.0035455902395928954,5.0,0.25
n128,2.0084086265617938,1.2369625884639608,0.014228257976392428,196.0,0.022927073140419318,0.005479034441145828,0.0031169428657207418,0.0034003121353604992,0.0005546890463502993,0.6159513319878612,0.33827262793380386,10.477235174076332,4.0,206.0,0.010764937587245789,4.875,0.0,0.007346751205111468,5.25,0.0,0.006284885520238191,4.875,0.0,0.0034603032041212313,5.0,0.25
n128,2.065320269081024,1.2720176248710953,0.014228378201062012,200.0,0.022997783090311488,0.0056202905110997415,0.00319235251267406,0.0033498547851999413,0.0005538796467319476,0.6159596616604589,0.35632408305532365,10.116942199604605,4.0,206.0,0.010815230967458385,4.875,0.0,0.006941135771707629,5.25,0.0,0.006444805789679853,4.875,0.0,0.003354260639349545,5.0,0.25
n128,2.122245995137878,1.3070818273725575,0.014233949567741483,204.0,0.02283248886851958,0.005724931714221293,0.003273690838488464,0.003248932875050053,0.0005530590140980635,0.6159685941945795,0.37301895310157995,9.716416724415014,4.0,206.0,0.010710477880312756,4.875,-0.125,0.006646307116070449,4.875,-0.125,0.006425857417422074,4.875,0.0,0.0032274546016701753,5.0,0.25
n128,2.179161722630203,1.3421403969205408,0.0142219718711144,208.0,0.022623810440258154,0.0058079710029452095,0.0033729185669255698,0.003138818115865076,0.0005522478332925083,0.6159781402855602,0.38840484096231953,9.288421188586906,4.0,206.0,0.010435790726923187,4.875,0.125,0.006604727917213338,4.875,-0.25,0.006241884931334064,4.875,0.0,0.003080395309582852,5.0,-0.25
n128,2.236012063045334,1.3771592499229581,0.014207627910401912,212.0,0.022659884085602332,0.005902032167461181,0.003503577586397181,0.0030782280532677246,0.0005514720717264415,0.6159883018430103,0.4025298512542484,8.843933864884622,4.0,206.0,0.010103054392824683,4.875,0.25,0.0064791767193927985,4.875,0.25,0.005957823676343675,4.875,0.125,0.0029141703367593303,5.0,-0.25
n128,2.2928169701970695,1.412150711806804,0.014197093323401995,216.0,0.02298841575097126,0.006028367008867989,0.003657740348248909,0.0030738907016798303,0.0005507605831559511,0.6159990906313185,0.4154674075467081,8.391452972282654,4.0,206.0,0.009857300975149405,4.75,0.0,0.0068702859065436495,4.75,0.0,0.005702467875584712,4.75,0.0,0.002745202121608975,5.0,0.375
n128,2.3495300385478104,1.447086231096432,0.014167691338778772,220.0,0.02334422367308408,0.006177686201800488,0.003802415953308297,0.003070679180858519,0.0005501454245340036,0.6160105026944822,0.4272791788068387,7.93828704355205,4.0,206.0,0.010359849312749298,4.75,0.0,0.007273273813538206,4.75,0.0,0.006031977889819423,4.75,0.0,0.0026748567816723377,4.875,0.0
n128,2.4061398871530684,1.4819588301600373,0.014144042423764457,224.0,0.02348259415295868,0.006325737572815722,0.00390930207766208,0.0030240121363715373,0.0005496581489108221,0.6160225362035067,0.4380386023893622,7.489969007392528,4.0,206.0,0.010630231603662103,4.75,0.0,0.007463169255169488,4.75,0.0,0.00621408685661501,4.75,0.0,0.002614393498043986,4.875,0.0
n128,2.462669457993946,1.5167826746751476,0.014126115103547797,228.0,0.023449252819094844,0.006461372823829266,0.003983254637451022,0.0029503546281767945,0.000549327092629567,0.6160351927058769,0.4478265118007884,7.050480434888506,4.0,206.0,0.010671726346996918,4.75,0.0,0.007445344539646626,4.75,0.0,0.006254693832434794,4.75,0.0,0.002535638301306944,4.875,0.0
n128,2.5191379845692703,1.5515696464037243,0.01411033306381794,232.0,0.023432971716235464,0.006592163646910905,0.004051916230250079,0.0028884345168797014,0.0005491742106167629,0.6160484692877749,0.4567220120683312,6.62277781082833,4.0,206.0,0.010496796213740655,4.75,0.0,0.0072444267589776845,4.75,0.125,0.0061627344564989875,4.75,0.0,0.0024378421650790207,4.875,0.0
n128,2.5754775881019967,1.5862779608618263,0.014070339239056486,236.0,0.023497804849144037,0.00672816533928388,0.004130054972450533,0.0028454229494341223,0.0005492105755080624,0.6160623366898178,0.4647910543802846,6.209585379522271,4.0,206.0,0.010146248209877116,4.75,-0.125,0.006940434948233265,4.75,-0.125,0.005981634422630834,4.75,0.125,0.0023210966083523697,4.875,0.0
n128,2.631671151748049,1.6208971019257565,0.014035916691923517,240.0,0.023582394992265807,0.006870322059123251,0.004204774235862267,0.0028062571939066866,0.000549431373722121,0.6160767700889878,0.47210867212522734,5.812488844895979,4.0,206.0,0.00969148395906302,4.75,-0.125,0.007390224831860526,4.625,0.0,0.00572269853637968,4.75,0.125,0.00228486188823811,6.0,0.0
n128,2.6877408826646563,1.6554407780933775,0.014007031646147049,244.0,0.02365519932422697,0.00701380966921512,0.0042553743316561055,0.002768686703130644,0.0005498133739620652,0.6160917481248495,0.4787535416127987,5.432210032997061,4.0,206.0,0.010249371954076415,4.625,0.0,0.007943696618985002,4.625,0.0,0.005466888692827833,4.75,-0.25,0.0022674092224204178,4.75,0.0
n128,2.743708805141005,1.689922584600879,0.013983631762987149,248.0,0.023741169059194427,0.007155432098540808,0.0042762631116775775,0.0027417645508196324,0.0005503139336469297,0.6161072430787062,0.4848012630020057,5.073901718586615,4.0,206.0,0.010672283687567941,4.625,0.0,0.00828993736344874,4.625,0.0,0.005590176485687356,4.625,0.0,0.0022586949729248625,6.125,0.0
n128,2.7995966968139276,1.7243559638167418,0.013965650274891581,252.0,0.023845458523601516,0.007295161811481387,0.004277927488763527,0.002724597178628734,0.0005508728129785668,0.6161232200630604,0.4903243245474269,4.769851940797026,4.0,206.0,0.010877839722669503,4.625,0.0,0.008430087207844772,4.625,0.0,0.005728529980145581,4.625,0.0,0.002293234792487704,6.125,0.0
n128,2.8554254083402517,1.7587537857029696,0.013952377682833297,256.0,0.023940879452062268,0.00743382690972544,0.004273372882668544,0.0027067126910756602,0.0005514172183258429,0.6161396359853106,0.4953920627606914,4.474978723435964,4.0,206.0,0.0108717954953088,4.625,0.0,0.008370978291804443,4.625,0.0,0.0057628027527354105,4.625,0.0,0.0023027042280510807,6.125,0.0
n128,2.911140705076581,1.7930826542156957,0.01391534149725453,260.0,0.024018300630394153,0.007571592045845521,0.004269012853181888,0.0026839441561857854,0.0005518689379951653,0.6161564160771211,0.5000646403627509,4.19024466181002,4.0,206.0,0.01066647142693388,4.625,0.0,0.008124685674630538,4.625,0.0,0.005697865614757939,4.625,0.0,0.002288205422463022,6.125,0.0
n128,2.9667208054619,1.8273291627347905,0.013883479080529743,264.0,0.024100412795608775,0.007708550925965406,0.004265544874387446,0.002661994320107126,0.0005521549471210683,0.6161734842996479,0.5044030814894479,3.9161737887587273,4.0,206.0,0.010279887704850298,4.625,0.0,0.007707769082031801,4.625,0.0,0.005568637447676748,4.625,0.125,0.0022511309516638632,6.125,0.0
n128,3.022186282020486,1.8615059970882821,0.0138567400372852,268.0,0.024205473605552936,0.007845287179135532,0.004262173611157195,0.0026460349595057698,0.0005522161566879748,0.6161907671908207,0.5084684596557962,3.652885439832576,4.0,206.0,0.009866346180130417,4.5,0.0,0.008042174001589353,4.5,0.0,0.005373044526697603,4.625,0.25,0.0022579582886826572,6.25,0.0
n128,3.0775574808891224,1.8956257002195829,0.013835064402619736,272.0,0.024322218318135667,0.007982067215411524,0.0042586873151634124,0.002633725115128794,0.0005520141537370073,0.6162081806556301,0.5123178877247043,3.4003682634838146,4.0,206.0,0.010413109847096633,4.5,0.0,0.008510115957489184,4.5,0.0,0.005196436977786153,4.625,0.25,0.002301132153332469,6.25,0.0
n128,3.1328544903308875,1.9297006522090554,0.013818385323222663,276.0,0.02442557433747165,0.008118032514772033,0.004255822582062256,0.0026190324531864513,0.0005515363350595832,0.6162256289853761,0.5160045492948344,3.1585171128899026,4.0,206.0,0.010765749630103509,4.5,0.0,0.008790492018022844,4.5,0.0,0.005167187284482295,4.5,0.0,0.0023194568115685148,6.25,0.0
n128,3.188097119253275,1.9637430563864124,0.013806631449715116,280.0,0.024508210058617867,0.008251543115670997,0.004255323966855055,0.0026000246657387023,0.0005507983684406153,0.6162430037237453,0.5195775658265682,2.927160919573059,4.0,206.0,0.010924299451214101,4.5,0.0,0.008885029351341445,4.5,0.0,0.005300185178656883,4.5,0.0,0.0023139923469125702,6.25,0.0
n128,3.2432837576928755,1.997751911154377,0.013785897870407725,284.0,0.024591983465588666,0.00838078242215934,0.004259707670339049,0.002581722718376243,0.0005498439216232746,0.616260175811651,0.5230803445002298,2.706166691960104,4.0,206.0,0.010894117624797578,4.5,0.0,0.008799751178201615,4.5,0.0,0.005349978242452334,4.5,0.0,0.002286223604990386,6.25,0.0
n128,3.2983525914033494,2.031689104819099,0.013756582329695453,288.0,0.02470783387266349,0.008503440022473451,0.00427087485793168,0.0025716090415841167,0.0005487427850396864,0.6162769830942725,0.5265495114824755,2.4955978533491336,4.0,206.0,0.010685632513920518,4.5,0.0,0.008544969096575455,4.5,0.0,0.005319226581740464,4.5,0.0,0.0022571190474984983,6.375,0.0
n128,3.3533158707104316,2.0655621588532,0.01373194396526604,292.0,0.024867640632495722,0.008618009836074763,0.004288464305204512,0.0025728392801487748,0.0005475863238068589,0.6162932712500433,0.5300225872360693,2.302355077564177,4.0,206.0,0.010313416356233474,4.5,0.0,0.008134306231780963,4.5,0.0,0.005215900635869211,4.5,-0.125,0.00230663124188167,6.375,0.0
